"x","cyan"
1009,53
769,114
829,114
889,114
949,114
1009,114
1069,114
1189,114
1309,175
1249,175
1189,175
1129,175
1069,175
1009,175
949,175
889,175
769,175
709,175
649,175
589,236
649,236
709,236
769,236
829,236
889,236
949,236
1009,236
1069,236
1129,236
1189,236
1249,236
1309,236
1369,236
1369,297
1309,297
1249,297
1189,297
1069,297
1009,297
949,297
889,297
829,297
769,297
709,297
649,297
589,297
529,297
589,358
649,358
709,358
769,358
829,358
889,358
949,358
1009,358
1069,358
1129,358
1189,358
1249,358
1309,358
1369,358
1429,358
1429,419
1369,419
1309,419
1249,419
1189,419
1129,419
1069,419
1009,419
949,419
889,419
769,419
709,419
649,419
589,419
529,480
589,480
649,480
709,480
889,480
949,480
1009,480
1069,480
1129,480
1189,480
1249,480
1309,480
1369,480
1189,541
1129,541
1069,541
1009,541
949,541
889,541
829,541
709,541
649,541
589,541
529,541
469,541
469,602
529,602
589,602
649,602
709,602
769,602
829,602
889,602
949,602
1069,602
1129,602
1189,602
1249,602
1309,602
1369,663
1309,663
1249,663
1189,663
1129,663
1069,663
1009,663
949,663
889,663
829,663
769,663
709,663
649,663
589,663
529,663
469,663
469,724
529,724
589,724
649,724
709,724
769,724
829,724
889,724
949,724
1009,724
1069,724
1129,724
1189,724
1249,724
1309,724
1309,785
1249,785
1189,785
1129,785
1069,785
1009,785
889,785
829,785
769,785
709,785
649,785
589,785
529,785
469,785
529,846
589,846
649,846
769,846
829,846
889,846
949,846
1009,846
1069,846
1129,846
1189,846
1249,846
1309,846
1249,907
1189,907
1129,907
1069,907
1009,907
949,907
889,907
829,907
769,907
709,907
649,907
589,907
829,968
889,968
949,968
1009,968
1069,968
1129,968
1009,1029
829,1029
864,377
818,397
790,418
764,453
750,472
749,482
741,492
728,509
728,521
728,552
734,565
753,568
781,566
786,558
790,538
832,514
832,492
832,470
841,446
854,425
865,416
876,405
894,402
918,397
953,397
1001,390
1029,378
1057,354
1074,337
1101,322
1124,316
1132,308
1138,301
1148,296
1157,286
1182,269
1194,264
1213,238
1217,221
1237,184
1234,184
1204,228
1194,240
1182,261
1146,285
1114,306
1070,322
1033,353
1009,361
988,362
954,373
916,373
890,373
