"x","cyan"
106,110
110,129
118,142
120,154
91,110
126,131
129,116
93,131
105,151
90,144
105,136
134,135
135,109
63,109
76,129
85,149
87,141
87,123
62,119
115,47
124,25
127,7
97,32
98,9
160,33
138,1
147,26
77,17
78,39
80,29
86,20
108,105
114,99
93,105
134,82
173,90
175,104
141,102
63,108
77,104
51,104
52,96
26,33
35,37
46,39
61,40
80,40
100,39
116,39
126,36
136,35
143,33
147,30
153,29
156,31
156,33
153,36
145,37
137,39
128,42
113,44
95,44
84,44
72,45
62,45
45,43
37,42
29,41
25,40
23,36
22,34
