x,y,z
106,110,1
110,129,2
118,142,3
120,154,4
91,110,5
126,131,6
129,116,7
93,131,8
105,151,9
90,144,10
105,136,11
134,135,12
135,109,13
63,109,14
76,129,15
85,149,16
87,141,17
87,123,18
62,119,19
115,47,20
124,25,21
127,7,22
97,32,23
98,9,24
160,33,25
138,1,26
147,26,27
77,17,28
78,39,29
80,29,30
86,20,31
108,105,32
114,99,33
93,105,34
134,82,35
173,90,36
175,104,37
141,102,38
63,108,39
77,104,40
51,104,41
52,96,42
