"V1","V2"
716,867
669,734
844,839
858,728
878,634
894,528
894,435
897,383
880,359
749,386
852,275
720,123
588,76
520,67
460,162
442,67
404,4
262,0
145,72
72,178
72,208
237,391
40,456
6,506
6,547
22,575
22,666
45,723
88,776
166,847
354,791
330,887
337,974
493,974
638,948
676,914
