"V1","V2"
307,587
353,414
439,560
544,507
592,412
614,352
616,299
616,268
549,239
517,216
549,159
573,131
568,99
516,77
487,78
373,139
448,7
285,0
218,196
130,36
28,137
27,294
147,330
18,387
61,499
136,455
64,530
196,568
