"x","cyan"
303.176470588235,584
335.823529411765,584
368.470588235294,584
401.117647058824,584
270.529411764706,551.529411764706
303.176470588235,551.529411764706
335.823529411765,551.529411764706
368.470588235294,551.529411764706
401.117647058824,551.529411764706
237.882352941176,519.058823529412
270.529411764706,519.058823529412
303.176470588235,519.058823529412
335.823529411765,519.058823529412
368.470588235294,519.058823529412
74.6470588235294,486.588235294118
107.294117647059,486.588235294118
139.941176470588,486.588235294118
237.882352941176,486.588235294118
270.529411764706,486.588235294118
303.176470588235,486.588235294118
335.823529411765,486.588235294118
368.470588235294,486.588235294118
466.411764705882,486.588235294118
499.058823529412,486.588235294118
531.705882352941,486.588235294118
74.6470588235294,454.117647058824
107.294117647059,454.117647058824
139.941176470588,454.117647058824
172.588235294118,454.117647058824
237.882352941176,454.117647058824
270.529411764706,454.117647058824
303.176470588235,454.117647058824
335.823529411765,454.117647058824
368.470588235294,454.117647058824
401.117647058824,454.117647058824
433.764705882353,454.117647058824
466.411764705882,454.117647058824
499.058823529412,454.117647058824
531.705882352941,454.117647058824
107.294117647059,421.647058823529
139.941176470588,421.647058823529
172.588235294118,421.647058823529
237.882352941176,421.647058823529
270.529411764706,421.647058823529
303.176470588235,421.647058823529
335.823529411765,421.647058823529
368.470588235294,421.647058823529
401.117647058824,421.647058823529
433.764705882353,421.647058823529
466.411764705882,421.647058823529
499.058823529412,421.647058823529
74.6470588235294,389.176470588235
107.294117647059,389.176470588235
139.941176470588,389.176470588235
172.588235294118,389.176470588235
205.235294117647,389.176470588235
237.882352941176,389.176470588235
270.529411764706,389.176470588235
303.176470588235,389.176470588235
335.823529411765,389.176470588235
368.470588235294,389.176470588235
401.117647058824,389.176470588235
433.764705882353,389.176470588235
466.411764705882,389.176470588235
499.058823529412,389.176470588235
42,356.705882352941
74.6470588235294,356.705882352941
107.294117647059,356.705882352941
139.941176470588,356.705882352941
172.588235294118,356.705882352941
205.235294117647,356.705882352941
270.529411764706,356.705882352941
303.176470588235,356.705882352941
335.823529411765,356.705882352941
368.470588235294,356.705882352941
401.117647058824,356.705882352941
433.764705882353,356.705882352941
466.411764705882,356.705882352941
499.058823529412,356.705882352941
42,324.235294117647
74.6470588235294,324.235294117647
107.294117647059,324.235294117647
139.941176470588,324.235294117647
172.588235294118,324.235294117647
205.235294117647,324.235294117647
303.176470588235,324.235294117647
335.823529411765,324.235294117647
368.470588235294,324.235294117647
433.764705882353,324.235294117647
466.411764705882,324.235294117647
531.705882352941,324.235294117647
564.352941176471,324.235294117647
597,324.235294117647
139.941176470588,291.764705882353
172.588235294118,291.764705882353
205.235294117647,291.764705882353
270.529411764706,291.764705882353
303.176470588235,291.764705882353
368.470588235294,291.764705882353
401.117647058824,291.764705882353
466.411764705882,291.764705882353
499.058823529412,291.764705882353
531.705882352941,291.764705882353
564.352941176471,291.764705882353
139.941176470588,259.294117647059
172.588235294118,259.294117647059
205.235294117647,259.294117647059
237.882352941176,259.294117647059
270.529411764706,259.294117647059
303.176470588235,259.294117647059
335.823529411765,259.294117647059
368.470588235294,259.294117647059
401.117647058824,259.294117647059
433.764705882353,259.294117647059
466.411764705882,259.294117647059
499.058823529412,259.294117647059
531.705882352941,259.294117647059
564.352941176471,259.294117647059
107.294117647059,226.823529411765
139.941176470588,226.823529411765
172.588235294118,226.823529411765
205.235294117647,226.823529411765
237.882352941176,226.823529411765
270.529411764706,226.823529411765
303.176470588235,226.823529411765
335.823529411765,226.823529411765
368.470588235294,226.823529411765
401.117647058824,226.823529411765
433.764705882353,226.823529411765
466.411764705882,226.823529411765
499.058823529412,226.823529411765
531.705882352941,226.823529411765
42,194.352941176471
74.6470588235294,194.352941176471
107.294117647059,194.352941176471
139.941176470588,194.352941176471
172.588235294118,194.352941176471
205.235294117647,194.352941176471
237.882352941176,194.352941176471
270.529411764706,194.352941176471
303.176470588235,194.352941176471
335.823529411765,194.352941176471
368.470588235294,194.352941176471
401.117647058824,194.352941176471
433.764705882353,194.352941176471
466.411764705882,194.352941176471
499.058823529412,194.352941176471
531.705882352941,194.352941176471
74.6470588235294,161.882352941176
107.294117647059,161.882352941176
139.941176470588,161.882352941176
172.588235294118,161.882352941176
205.235294117647,161.882352941176
237.882352941176,161.882352941176
270.529411764706,161.882352941176
335.823529411765,161.882352941176
401.117647058824,161.882352941176
433.764705882353,161.882352941176
466.411764705882,161.882352941176
499.058823529412,161.882352941176
531.705882352941,161.882352941176
42,129.411764705882
139.941176470588,129.411764705882
172.588235294118,129.411764705882
205.235294117647,129.411764705882
237.882352941176,129.411764705882
270.529411764706,129.411764705882
303.176470588235,129.411764705882
401.117647058824,129.411764705882
433.764705882353,129.411764705882
466.411764705882,129.411764705882
499.058823529412,129.411764705882
531.705882352941,129.411764705882
107.294117647059,96.9411764705883
139.941176470588,96.9411764705883
172.588235294118,96.9411764705883
205.235294117647,96.9411764705883
237.882352941176,96.9411764705883
270.529411764706,96.9411764705883
303.176470588235,96.9411764705883
433.764705882353,96.9411764705883
466.411764705882,96.9411764705883
499.058823529412,96.9411764705883
205.235294117647,64.4705882352941
237.882352941176,64.4705882352941
270.529411764706,64.4705882352941
303.176470588235,64.4705882352941
270.529411764706,32
303.176470588235,32
334,147
294,161
236,195
220,212
211,262
211,296
211,332
214,355
242,356
269,355
269,343
269,329
269,315
262,303
251,288
242,280
241,272
241,266
241,259
241,254
241,250
241,239
246,229
247,223
249,216
252,213
259,207
269,201
275,199
288,180
314,170
323,167
328,164
331,164
