x,y,z
1,1,
2,1,
3,1,
4,1,
5,1,
6,1,
7,1,
8,1,
9,1,
10,1,14
11,1,14
12,1,13
13,1,16
14,1,
15,1,
16,1,
17,1,
18,1,
1,2,
2,2,
3,2,
4,2,
5,2,
6,2,
7,2,
8,2,
9,2,12
10,2,12
11,2,10
12,2,12
13,2,22
14,2,
15,2,
16,2,
17,2,
18,2,
1,3,
2,3,
3,3,
4,3,
5,3,
6,3,
7,3,
8,3,12
9,3,13
10,3,11
11,3,9
12,3,13
13,3,
14,3,
15,3,
16,3,
17,3,
18,3,
1,4,
2,4,
3,4,16
4,4,19
5,4,14
6,4,
7,4,
8,4,15
9,4,13
10,4,9
11,4,8
12,4,15
13,4,
14,4,
15,4,30
16,4,28
17,4,42
18,4,
1,5,
2,5,
3,5,13
4,5,17
5,5,14
6,5,18
7,5,
8,5,17
9,5,9
10,5,12
11,5,9
12,5,12
13,5,16
14,5,17
15,5,21
16,5,41
17,5,51
18,5,
1,6,
2,6,
3,6,
4,6,19
5,6,17
6,6,13
7,6,
8,6,12
9,6,15
10,6,13
11,6,13
12,6,16
13,6,15
14,6,20
15,6,36
16,6,63
17,6,
18,6,
1,7,
2,7,
3,7,22
4,7,18
5,7,19
6,7,17
7,7,22
8,7,12
9,7,14
10,7,18
11,7,17
12,7,16
13,7,21
14,7,25
15,7,39
16,7,45
17,7,
18,7,
1,8,
2,8,18
3,8,25
4,8,22
5,8,22
6,8,27
7,8,24
8,8,
9,8,23
10,8,21
11,8,23
12,8,29
13,8,38
14,8,51
15,8,38
16,8,19
17,8,
18,8,
1,9,
2,9,37
3,9,48
4,9,33
5,9,36
6,9,38
7,9,30
8,9,
9,9,
10,9,22
11,9,30
12,9,30
13,9,
14,9,45
15,9,22
16,9,
17,9,16
18,9,19
19,9,18
2,10,
3,10,
4,10,
5,10,18
6,10,49
7,10,31
8,10,
9,10,38
10,10,42
11,10,
12,10,52
13,10,32
14,10,
15,10,11
16,10,23
17,10,16
18,10,20
1,11,
2,11,
3,11,
4,11,
5,11,29
6,11,40
7,11,31
8,11,58
9,11,65
10,11,61
11,11,43
12,11,32
13,11,30
14,11,28
15,11,26
16,11,21
17,11,21
18,11,14
1,12,
2,12,
3,12,
4,12,20
5,12,28
6,12,28
7,12,22
8,12,39
9,12,30
10,12,23
11,12,21
12,12,24
13,12,24
14,12,34
15,12,19
16,12,11
17,12,13
18,12,
1,13,
2,13,21
3,13,19
4,13,19
5,13,16
6,13,17
7,13,30
8,13,24
9,13,17
10,13,26
11,13,24
12,13,14
13,13,18
14,13,19
15,13,11
16,13,12
17,13,14
18,13,
1,14,
2,14,
3,14,24
4,14,24
5,14,21
6,14,20
7,14,16
8,14,20
9,14,18
10,14,
11,14,13
12,14,
13,14,14
14,14,14
15,14,7
16,14,9
17,14,2
18,14,
1,15,
2,15,32
3,15,
4,15,
5,15,15
6,15,18
7,15,15
8,15,15
9,15,13
10,15,15
11,15,
12,15,
13,15,11
14,15,10
15,15,9
16,15,14
17,15,8
18,15,
1,16,
2,16,
3,16,
4,16,23
5,16,14
6,16,11
7,16,11
8,16,10
9,16,11
10,16,16
11,16,
12,16,
13,16,
14,16,10
15,16,10
16,16,11
17,16,
18,16,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,8
8,17,9
9,17,10
10,17,14
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,9
10,18,11
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
